[('Philippine_peso', 0.7327845096588135), ('Czech_koruna', 0.6412056088447571), ('Romanian_leu', 0.618308424949646)] Armenian_dram
[('Philippine_peso', 0.7394864559173584), ('Czech_koruna', 0.6558864116668701), ('Swiss_franc', 0.6443941593170166)] Euro
[('Philippine_peso', 0.7539492845535278), ('Romanian_leu', 0.6715024709701538), ('leu_currency', 0.6496435403823853)] Bulgarian_lev
[('Philippine_peso', 0.8095894455909729), ('Chile_peso', 0.7376635074615479), ('Chilean_peso', 0.7366148233413696)] Chilean_peso
[('Philippine_peso', 0.8117220401763916), ('Indonesia_rupiah', 0.6742439270019531), ('Malaysian_ringgit', 0.6594604849815369)] Renminbi
[('Philippine_peso', 0.803237795829773), ('Colombian_peso', 0.7176081538200378), ('Chile_peso', 0.6849304437637329)] Colombian_peso
[('Philippine_peso', 0.7450231313705444), ('Czech_koruna', 0.6789392232894897), ('Polish_zloty', 0.6660628318786621)] Czech_koruna
[('Philippine_peso', 0.7531329989433289), ('Kenyan_shilling', 0.6528099775314331), ('Ugandan_shilling', 0.6483081579208374)] Ethiopian_birr
[('Philippine_peso', 0.7393805980682373), ('greenback', 0.6398866176605225), ('franc', 0.6309628486633301)] Euro
[('Philippine_peso', 0.7541838884353638), ('Hungary_forint', 0.6502372026443481), ('greenback', 0.6354480981826782)] Euro
[('Philippine_peso', 0.7711796760559082), ('forint', 0.6913504004478455), ('Polish_zloty', 0.6830196380615234)] Hungarian_forint
[('Philippine_peso', 0.8210440874099731), ('Thai_baht', 0.6730589270591736), ('Malaysian_ringgit', 0.6448632478713989)] Lao_kip
[('Philippine_peso', 0.7398924231529236), ('Romanian_leu', 0.6760557889938354), ('Poland_zloty', 0.663043737411499)] Euro
[('Philippine_peso', 0.6949982643127441), ('Libya', 0.622740626335144), ('greenback', 0.590970516204834)] Libyan_dinar
[('Philippine_peso', 0.845371425151825), ('Malaysian_ringgit', 0.7655818462371826), ('Indonesian_rupiah', 0.700711727142334)] Malaysian_ringgit
[('Philippine_peso', 0.7609734535217285), ('Norwegian_krone', 0.628028154373169), ('greenback', 0.6238604784011841)] Euro
[('Philippine_peso', 0.7808599472045898), ('naira', 0.6313660740852356), ('Thai_baht', 0.6283406019210815)] Nigerian_naira
[('Philippine_peso', 0.7748669385910034), ('greenback', 0.6430345773696899), ('Hungary_forint', 0.6332975029945374)] Euro
[('Philippine_peso', 0.7553394436836243), ('Malaysian_ringgit', 0.6654825210571289), ('Qatari_riyal', 0.6254400014877319)] Qatari_riyal
[('Philippine_peso', 0.7201389670372009), ('San_Marino', 0.6175504326820374), ('KRW1_###.##', 0.558709979057312)] Euro
[('Philippine_peso', 0.7828812003135681), ('Malaysian_ringgit', 0.675856351852417), ('greenback', 0.6573213934898376)] Saudi_riyal
[('Philippine_peso', 0.7290497422218323), ('Slovak_koruna', 0.6279629468917847), ('Romanian_leu', 0.6267106533050537)] Euro
[('Philippine_peso', 0.7216975688934326), ('Somalia', 0.6316153407096863), ('Indonesia_rupiah', 0.6218411326408386)] Somali_shilling
[('Philippine_peso', 0.8083089590072632), ('Chile_peso', 0.6587128639221191), ('Colombian_peso', 0.6469016075134277)] Euro
[('Philippine_peso', 0.7485319972038269), ('Swedish_krona', 0.7005428671836853), ('Norwegian_krone', 0.6899232268333435)] Swedish_krona
[('Philippine_peso', 0.731366753578186), ('Swiss_franc', 0.6738039255142212), ('franc', 0.6472882032394409)] Swiss_franc
[('Philippine_peso', 0.7592518329620361), ('Malaysian_ringgit', 0.6211551427841187), ('rupee', 0.6190258264541626)] Somoni
[('Philippine_peso', 0.797687292098999), ('Kenyan_shilling', 0.6923489570617676), ('Ugandan_shilling', 0.6651853322982788)] Tanzanian_shilling
